입력표기,정규화자격증명,표기구분,자격유형,자격상태,Q-NetURL
ASME용접사,ASME용접사,표준명,현장·민간·국제 인증,현장·민간·국제,
ASME자격,ASME용접사,별칭·구표기,현장·민간·국제 인증,현장·민간·국제,
AWS용접사,AWS용접사,표준명,현장·민간·국제 인증,현장·민간·국제,
AWS자격,AWS용접사,별칭·구표기,현장·민간·국제 인증,현장·민간·국제,
가스기능사,가스기능사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B0%80%EC%8A%A4%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EA%B0%80%EC%8A%A4%EA%B8%B0%EB%8A%A5%EC%82%AC
가스텅스텐아크용접기능사,가스텅스텐아크용접기능사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B0%80%EC%8A%A4%ED%85%85%EC%8A%A4%ED%85%90%EC%95%84%ED%81%AC%EC%9A%A9%EC%A0%91%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EA%B0%80%EC%8A%A4%ED%85%85%EC%8A%A4%ED%85%90%EC%95%84%ED%81%AC%EC%9A%A9%EC%A0%91%EA%B8%B0%EB%8A%A5%EC%82%AC
거푸집기능사,거푸집기능사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B1%B0%ED%91%B8%EC%A7%91%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EA%B1%B0%ED%91%B8%EC%A7%91%EA%B8%B0%EB%8A%A5%EC%82%AC
건설안전기사,건설안전기사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B1%B4%EC%84%A4%EC%95%88%EC%A0%84%EA%B8%B0%EC%82%AC&searchSort=weight&totalQuery=%EA%B1%B4%EC%84%A4%EC%95%88%EC%A0%84%EA%B8%B0%EC%82%AC
건설안전산업기사,건설안전산업기사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B1%B4%EC%84%A4%EC%95%88%EC%A0%84%EC%82%B0%EC%97%85%EA%B8%B0%EC%82%AC&searchSort=weight&totalQuery=%EA%B1%B4%EC%84%A4%EC%95%88%EC%A0%84%EC%82%B0%EC%97%85%EA%B8%B0%EC%82%AC
건축기사,건축기사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B1%B4%EC%B6%95%EA%B8%B0%EC%82%AC&searchSort=weight&totalQuery=%EA%B1%B4%EC%B6%95%EA%B8%B0%EC%82%AC
건축도장기능사,건축도장기능사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B1%B4%EC%B6%95%EB%8F%84%EC%9E%A5%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EA%B1%B4%EC%B6%95%EB%8F%84%EC%9E%A5%EA%B8%B0%EB%8A%A5%EC%82%AC
도장기능사,건축도장기능사,별칭·구표기,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B1%B4%EC%B6%95%EB%8F%84%EC%9E%A5%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EA%B1%B4%EC%B6%95%EB%8F%84%EC%9E%A5%EA%B8%B0%EB%8A%A5%EC%82%AC
건축목공기능사,건축목공기능사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B1%B4%EC%B6%95%EB%AA%A9%EA%B3%B5%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EA%B1%B4%EC%B6%95%EB%AA%A9%EA%B3%B5%EA%B8%B0%EB%8A%A5%EC%82%AC
건축목공산업기사,건축목공산업기사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B1%B4%EC%B6%95%EB%AA%A9%EA%B3%B5%EC%82%B0%EC%97%85%EA%B8%B0%EC%82%AC&searchSort=weight&totalQuery=%EA%B1%B4%EC%B6%95%EB%AA%A9%EA%B3%B5%EC%82%B0%EC%97%85%EA%B8%B0%EC%82%AC
건축산업기사,건축산업기사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B1%B4%EC%B6%95%EC%82%B0%EC%97%85%EA%B8%B0%EC%82%AC&searchSort=weight&totalQuery=%EA%B1%B4%EC%B6%95%EC%82%B0%EC%97%85%EA%B8%B0%EC%82%AC
건축일반시공산업기사,건축일반시공산업기사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B1%B4%EC%B6%95%EC%9D%BC%EB%B0%98%EC%8B%9C%EA%B3%B5%EC%82%B0%EC%97%85%EA%B8%B0%EC%82%AC&searchSort=weight&totalQuery=%EA%B1%B4%EC%B6%95%EC%9D%BC%EB%B0%98%EC%8B%9C%EA%B3%B5%EC%82%B0%EC%97%85%EA%B8%B0%EC%82%AC
공조냉동기계기능사,공조냉동기계기능사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B3%B5%EC%A1%B0%EB%83%89%EB%8F%99%EA%B8%B0%EA%B3%84%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EA%B3%B5%EC%A1%B0%EB%83%89%EB%8F%99%EA%B8%B0%EA%B3%84%EA%B8%B0%EB%8A%A5%EC%82%AC
공조냉동기계산업기사,공조냉동기계산업기사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B3%B5%EC%A1%B0%EB%83%89%EB%8F%99%EA%B8%B0%EA%B3%84%EC%82%B0%EC%97%85%EA%B8%B0%EC%82%AC&searchSort=weight&totalQuery=%EA%B3%B5%EC%A1%B0%EB%83%89%EB%8F%99%EA%B8%B0%EA%B3%84%EC%82%B0%EC%97%85%EA%B8%B0%EC%82%AC
굴착기운전기능사,굴착기운전기능사,표준명,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B5%B4%EC%B0%A9%EA%B8%B0%EC%9A%B4%EC%A0%84%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EA%B5%B4%EC%B0%A9%EA%B8%B0%EC%9A%B4%EC%A0%84%EA%B8%B0%EB%8A%A5%EC%82%AC
굴삭기운전기능사,굴착기운전기능사,별칭·구표기,국가기술자격,현행,https://www.q-net.or.kr/totalSearch.do?gSite=Q&pageNum=1&resFlag=N&searchMenu=total&searchQuery=%EA%B5%B4%EC%B0%A9%EA%B8%B0%EC%9A%B4%EC%A0%84%EA%B8%B0%EB%8A%A5%EC%82%AC&searchSort=weight&totalQuery=%EA%B5%B4%EC%B0%A9%EA%B8%B0%EC%9A%B4%EC%A0%84%EA%B8%B0%EB%8A%A5%EC%82%AC
