직종,NCS코드,능력명,NCS세분류
건축목공시공,1403020103_14v2,건축목공시공 계획수립,건축목공시공
건축목공시공,1403020101_14v2,건축목공시공 도면파악,건축목공시공
건축목공시공,1403020102_14v2,건축목공시공 현장안전,건축목공시공
건축목공시공,1403020112_14v2,검사 하자보수,건축목공시공
건축목공시공,1403020106_14v2,구조물 제작설치,건축목공시공
건축목공시공,1403020105_14v2,먹매김,건축목공시공
건축목공시공,1403020110_14v2,목재창호 제작설치,건축목공시공
건축목공시공,1403020107_14v2,바닥 설치,건축목공시공
건축목공시공,1403020108_14v2,벽 설치,건축목공시공
건축목공시공,1403020111_14v2,보양 현장정리,건축목공시공
건축목공시공,1403020104_14v2,시공준비,건축목공시공
건축목공시공,1403020109_14v2,천장 설치,건축목공시공
철근콘크리트시공,1403020606_22v3,거푸집 설치,철근콘크리트시공
철근콘크리트시공,1403020604_22v3,시공 전 준비,철근콘크리트시공
철근콘크리트시공,1403020605_22v3,자재관리,철근콘크리트시공
철근콘크리트시공,1403020607_22v3,철근가공 조립검사,철근콘크리트시공
철근콘크리트시공,1403020603_22v3,철근콘크리트시공 계획수립,철근콘크리트시공
철근콘크리트시공,1403020601_22v4,철근콘크리트시공 설계도서검토,철근콘크리트시공
철근콘크리트시공,1403020602_22v3,철근콘크리트시공 현장안전관리,철근콘크리트시공
철근콘크리트시공,1403020610_22v3,콘크리트 양생 후 검사·보수,철근콘크리트시공
철근콘크리트시공,1403020609_22v3,콘크리트 타설 양생,철근콘크리트시공
철근콘크리트시공,1403020608_22v3,콘크리트 타설 전 준비,철근콘크리트시공
철근콘크리트시공,1407030118_16v2,콘크리트 타설작업,콘크리트공기계운전
방수시공,1403020306_14v2,규산질계 도포 방수,방수시공
방수시공,1403020308_14v2,도막 방수,방수시공
방수시공,1403020304_21v3,바탕처리,방수시공
방수시공,1403020310_14v2,방수 검사,방수시공
방수시공,1403020311_14v2,방수면 보호,방수시공
방수시공,1403020303_14v2,방수시공 계획수립,방수시공
방수시공,1403020301_14v2,방수시공 도면파악,방수시공
방수시공,1403020302_21v3,방수시공 현장안전,방수시공
방수시공,1403020305_14v2,시멘트 액체 방수,방수시공
방수시공,1403020307_14v2,시트 방수,방수시공
방수시공,1403020309_14v2,실링 방수,방수시공
조적미장시공,1403020205_24v4,기준설정 및 규준틀 설치,조적미장시공
조적미장시공,1403020210_18v3,단열 모르타르 바름,조적미장시공
조적미장시공,1403020211_24v4,모르타르 바닥미장,조적미장시공
조적미장시공,1403020209_18v3,모르타르 벽미장,조적미장시공
조적미장시공,1403020208_18v3,모서리 및 벽면 비드설치,조적미장시공
조적미장시공,1403020206_24v4,벽돌 쌓기 작업,조적미장시공
조적미장시공,1403020207_24v4,블록 쌓기 작업,조적미장시공
조적미장시공,1403020203_24v4,조적미장시공 계획수립,조적미장시공
조적미장시공,1403020201_24v4,조적미장시공 도면검토,조적미장시공
조적미장시공,1403020212_24v4,조적미장시공 보양 청소,조적미장시공
조적미장시공,1403020204_24v4,조적미장시공 작업준비,조적미장시공
타일석공시공,1403021706_19v3,석재붙임,석재시공
타일석공시공,1403021707_19v3,석재시공 검사 보수,석재시공
타일석공시공,1403021703_19v3,석재시공 계획수립,석재시공
